date,description,amount,category
2024-01-01,Apartment Rent,-1071.15,Rent
2024-01-01,Verizon,-118.58,Utilities
2024-01-04,Electric Co,-80.64,Utilities
2024-01-06,Electric Co,-40.72,Utilities
2024-01-12,Airbnb,-390.86,Travel
2024-01-14,Uber,-38.18,Transport
2024-01-18,Payroll Deposit,2978.06,Income
2024-01-18,Verizon,-51.99,Utilities
2024-01-18,Apartment Rent,-1284.89,Rent
2024-01-21,Chevron,-29.46,Transport
2024-01-24,Hotel Stay,-69.02,Travel
2024-01-27,Burger Spot,-15.16,Dining
2024-01-28,Apartment Rent,-991.7,Rent
2024-01-28,Burger Spot,-25.47,Dining
2024-01-30,Apartment Rent,-1248.35,Rent
2024-01-30,Netflix,-14.88,Subscriptions
2024-02-01,Apartment Rent,-1300.14,Rent
2024-02-03,Apartment Rent,-1089.71,Rent
2024-02-03,Lyft,-35.87,Transport
2024-02-05,Uber,-70.28,Transport
2024-02-07,Payroll Deposit,3463.05,Income
2024-02-07,Whole Foods,-146.76,Groceries
2024-02-09,Doctor Visit,-26.75,Health
2024-02-09,Comcast,-97.92,Utilities
2024-02-10,Apartment Rent,-1204.61,Rent
2024-02-10,Hotel Stay,-162.86,Travel
2024-02-15,Trader Joe's,-140.48,Groceries
2024-02-20,Delta Flight,-134.95,Travel
2024-02-23,Water Utility,-90.54,Utilities
2024-02-24,Starbucks,-25.59,Dining
2024-02-26,Delta Flight,-77.07,Travel
2024-02-27,Payroll Deposit,2756.41,Income
2024-02-28,Verizon,-72.83,Utilities
2024-03-03,Gym,-198.06,Health
2024-03-04,Delta Flight,-313.98,Travel
2024-03-04,Chevron,-66.56,Transport
2024-03-04,Streaming Service,-80.96,Entertainment
2024-03-04,Chevron,-71.05,Transport
2024-03-04,Chevron,-19.33,Transport
2024-03-05,Whole Foods,-125.14,Groceries
2024-03-07,Movie Theater,-32.72,Entertainment
2024-03-08,Bonus Payment,2199.5,Income
2024-03-11,Salary Deposit,2973.57,Income
2024-03-11,Apartment Rent,-1063.03,Rent
2024-03-17,Doctor Visit,-153.29,Health
2024-03-19,Comcast,-48.57,Utilities
2024-03-22,Lyft,-20.56,Transport
2024-03-24,Apartment Rent,-1015.1,Rent
2024-03-25,Payroll Deposit,1840.5,Income
2024-03-25,Pharmacy,-53.26,Health
2024-03-26,Doctor Visit,-174.85,Health
2024-03-27,Lyft,-23.41,Transport
2024-03-28,Water Utility,-50.22,Utilities
2024-04-03,Walmart,-61.51,Groceries
2024-04-06,Salary Deposit,3107.63,Income
2024-04-07,Salary Deposit,2588.57,Income
2024-04-07,Bookstore,-77.83,Shopping
2024-04-08,Comcast,-81.49,Utilities
2024-04-12,Water Utility,-61.26,Utilities
2024-04-12,Concert Hall,-82.17,Entertainment
2024-04-12,Delta Flight,-379.34,Travel
2024-04-14,Cafe Luna,-61.61,Dining
2024-04-17,Hulu,-16.54,Subscriptions
2024-04-17,Hulu,-8.53,Subscriptions
2024-04-19,Gym,-55.57,Health
2024-04-19,Uber,-76.15,Transport
2024-04-19,Delta Flight,-365.05,Travel
2024-04-20,Gym,-174.81,Health
2024-04-21,Gym,-138.74,Health
2024-04-25,Payroll Deposit,1347.26,Income
2024-04-28,Hotel Stay,-167.88,Travel
2024-04-30,Target,-90.19,Shopping
2024-05-01,Burger Spot,-40.72,Dining
2024-05-01,Comcast,-49.69,Utilities
2024-05-03,Pharmacy,-45.46,Health
2024-05-04,Airbnb,-103.65,Travel
2024-05-04,Sushi House,-23.07,Dining
2024-05-05,Salary Deposit,3221.06,Income
2024-05-07,Amazon,-80.92,Shopping
2024-05-10,Payroll Deposit,1357.6,Income
2024-05-17,Movie Theater,-34.89,Entertainment
2024-05-17,Pharmacy,-66.53,Health
2024-05-18,Salary Deposit,1331.48,Income
2024-05-19,Salary Deposit,1273.1,Income
2024-05-19,Verizon,-61.94,Utilities
2024-05-20,Bonus Payment,3498.35,Income
2024-05-21,Whole Foods,-132.26,Groceries
2024-05-24,Lyft,-45.41,Transport
2024-05-25,Netflix,-24.72,Subscriptions
2024-05-29,Airbnb,-79.34,Travel
2024-05-29,Pharmacy,-22.74,Health
2024-05-30,Trader Joe's,-134.72,Groceries
2024-06-04,Electric Co,-111.29,Utilities
2024-06-04,Target,-121.7,Shopping
2024-06-05,Chevron,-39.01,Transport
2024-06-07,Streaming Service,-27.0,Entertainment
2024-06-10,Gym,-88.94,Health
2024-06-11,Burger Spot,-30.03,Dining
2024-06-12,Bonus Payment,1832.57,Income
2024-06-12,Water Utility,-124.29,Utilities
2024-06-12,Sushi House,-42.2,Dining
2024-06-12,Delta Flight,-273.09,Travel
2024-06-16,Delta Flight,-376.8,Travel
2024-06-18,Movie Theater,-75.84,Entertainment
2024-06-19,Spotify,-25.91,Subscriptions
2024-06-19,Burger Spot,-33.18,Dining
2024-06-20,Lyft,-47.39,Transport
2024-06-25,Airbnb,-343.76,Travel
2024-06-27,Hotel Stay,-304.26,Travel
2024-06-30,Comcast,-130.54,Utilities
2024-06-30,Hotel Stay,-293.53,Travel
2024-07-05,Doctor Visit,-197.08,Health
2024-07-08,Water Utility,-83.13,Utilities
2024-07-09,Target,-192.91,Shopping
2024-07-11,Target,-123.17,Groceries
2024-07-11,Apartment Rent,-1383.94,Rent
2024-07-12,Hulu,-32.08,Subscriptions
2024-07-14,Airbnb,-263.64,Travel
2024-07-14,Amazon,-236.83,Shopping
2024-07-17,Payroll Deposit,3051.61,Income
